,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
300,4,4.0,0.8985942020000017,"[1, 0, 1, 0, 0]",75,512,1
301,8,6.0,0.971413763000001,"[1, 1, 1, 0, 0]",75,512,1
302,16,6.0,1.0465017299999992,"[1, 1, 1, 0, 0]",75,512,1
303,32,6.0,1.119867167999999,"[1, 1, 1, 0, 0]",75,512,1
304,64,6.0,1.1984914189999998,"[1, 1, 1, 0, 0]",75,512,1
305,128,6.0,1.2778795370000005,"[1, 1, 1, 0, 0]",75,512,1
306,256,6.0,1.3655791959999988,"[1, 1, 1, 0, 0]",75,512,1
307,512,6.0,1.468190333999999,"[1, 1, 1, 0, 0]",75,512,1
308,0,5.0,1.5461653210000001,"[0, 1, 1, 0, 0]",75,512,2
309,1,10.0,1.5464708690000002,"[0, 1, 1, 0, 1]",75,512,2
310,2,10.0,1.6253843910000008,"[0, 1, 1, 0, 1]",75,512,2
311,4,10.0,1.7022830750000004,"[0, 1, 1, 0, 1]",75,512,2
312,8,10.0,1.7787606860000018,"[0, 1, 1, 0, 1]",75,512,2
313,16,10.0,1.8542760539999996,"[0, 1, 1, 0, 1]",75,512,2
314,32,10.0,1.9324953919999999,"[0, 1, 1, 0, 1]",75,512,2
315,64,10.0,2.0113562599999995,"[0, 1, 1, 0, 1]",75,512,2
316,128,10.0,2.0968046650000005,"[0, 1, 1, 0, 1]",75,512,2
317,256,10.0,2.190004796,"[0, 1, 1, 0, 1]",75,512,2
318,512,10.0,2.3013857719999997,"[0, 1, 1, 0, 1]",75,512,2
319,0,3.0,2.380956359999999,"[1, 1, 0, 0, 0]",75,512,3
320,1,3.0,2.3813813340000003,"[1, 1, 0, 0, 0]",75,512,3
321,2,3.0,2.4598949270000006,"[1, 1, 0, 0, 0]",75,512,3
322,4,6.0,2.538266213,"[1, 1, 1, 0, 0]",75,512,3
323,8,6.0,2.6191458149999995,"[1, 1, 1, 0, 0]",75,512,3
324,16,6.0,2.699893318000001,"[1, 1, 1, 0, 0]",75,512,3
325,32,6.0,2.7804503989999994,"[1, 1, 1, 0, 0]",75,512,3
326,64,6.0,2.8654761129999997,"[1, 1, 1, 0, 0]",75,512,3
327,128,6.0,2.956349964000001,"[1, 1, 1, 0, 0]",75,512,3
328,256,6.0,3.054466640000001,"[1, 1, 1, 0, 0]",75,512,3
329,512,6.0,3.1791761749999985,"[1, 1, 1, 0, 0]",75,512,3
330,0,0.0,3.2627871560000017,"[1, 0, 0, 1, 1]",75,512,4
331,1,5.0,3.2631694760000016,"[1, 0, 0, 1, 0]",75,512,4
332,2,5.0,3.3483043640000005,"[1, 0, 0, 1, 0]",75,512,4
333,4,8.0,3.4280831549999995,"[1, 0, 1, 1, 0]",75,512,4
334,8,8.0,3.510444949,"[1, 0, 1, 1, 0]",75,512,4
335,16,8.0,3.5933055130000007,"[1, 0, 1, 1, 0]",75,512,4
336,32,8.0,3.678961945000001,"[1, 0, 1, 1, 0]",75,512,4
337,64,8.0,3.7665777270000014,"[1, 0, 1, 1, 0]",75,512,4
338,128,8.0,3.8594380699999995,"[1, 0, 1, 1, 0]",75,512,4
339,256,8.0,3.9668464460000017,"[1, 0, 1, 1, 0]",75,512,4
340,512,8.0,4.101656145,"[1, 0, 1, 1, 0]",75,512,4
341,0,0.0,4.1893275800000005,"[1, 1, 1, 0, 1]",75,512,5
342,1,0.0,4.189686455,"[1, 1, 1, 0, 1]",75,512,5
343,2,0.0,4.278213386000001,"[1, 1, 1, 0, 1]",75,512,5
344,4,10.0,4.361307353000001,"[0, 1, 1, 0, 1]",75,512,5
345,8,10.0,4.445354302000002,"[0, 1, 1, 0, 1]",75,512,5
346,16,10.0,4.534352394999999,"[0, 1, 1, 0, 1]",75,512,5
347,32,10.0,4.621919058,"[0, 1, 1, 0, 1]",75,512,5
348,64,10.0,4.714503281999999,"[0, 1, 1, 0, 1]",75,512,5
349,128,10.0,4.812012328000002,"[0, 1, 1, 0, 1]",75,512,5
350,256,10.0,4.9236696030000004,"[0, 1, 1, 0, 1]",75,512,5
351,512,10.0,5.064754852,"[0, 1, 1, 0, 1]",75,512,5
352,0,0.0,5.155365676999999,"[0, 0, 0, 0, 0]",75,512,6
353,1,4.0,5.155785494,"[0, 0, 0, 1, 0]",75,512,6
354,2,9.0,5.245802608000002,"[0, 0, 0, 1, 1]",75,512,6
355,4,9.0,5.332634544000001,"[0, 0, 0, 1, 1]",75,512,6
356,8,9.0,5.420199502999999,"[0, 0, 0, 1, 1]",75,512,6
357,16,9.0,5.506287298,"[0, 0, 0, 1, 1]",75,512,6
358,32,9.0,5.604023754,"[0, 0, 0, 1, 1]",75,512,6
