,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
271,64,0.0,13.629280373,"[0, 1, 1, 0, 1]",25,512,24
272,128,0.0,13.742556065,"[0, 1, 1, 0, 1]",25,512,24
273,256,0.0,13.906969973999999,"[0, 1, 1, 0, 1]",25,512,24
274,512,0.0,14.168991803,"[0, 1, 1, 0, 1]",25,512,24
275,0,3.0,14.23656614,"[1, 0, 0, 0, 1]",25,512,25
276,1,2.0,14.237561941,"[1, 0, 0, 1, 1]",25,512,25
277,2,2.0,14.305764882999998,"[1, 0, 0, 1, 1]",25,512,25
278,4,2.0,14.372974483,"[1, 0, 0, 1, 1]",25,512,25
279,8,2.0,14.44783113,"[1, 0, 0, 1, 1]",25,512,25
280,16,0.0,14.520567437,"[1, 0, 0, 1, 0]",25,512,25
281,32,0.0,14.607848435000001,"[1, 0, 0, 1, 0]",25,512,25
282,64,0.0,14.724145692,"[1, 0, 0, 1, 0]",25,512,25
283,128,0.0,14.842836986999998,"[1, 0, 0, 1, 0]",25,512,25
284,256,0.0,15.014609324999999,"[1, 0, 0, 1, 0]",25,512,25
285,512,0.0,15.291308347000001,"[1, 0, 0, 1, 0]",25,512,25
286,0,4.0,4.9264999997689074e-05,"[0, 1, 0, 0, 0]",75,512,0
287,1,2.0,0.00022728300000096624,"[0, 1, 0, 0, 1]",75,512,0
288,2,2.0,0.07152598000000054,"[0, 1, 0, 0, 1]",75,512,0
289,4,2.0,0.1415594409999983,"[0, 1, 0, 0, 1]",75,512,0
290,8,2.0,0.21059802999999988,"[0, 1, 0, 0, 1]",75,512,0
291,16,0.0,0.27866810999999814,"[0, 1, 1, 0, 1]",75,512,0
292,32,0.0,0.34875853699999837,"[0, 1, 1, 0, 1]",75,512,0
293,64,0.0,0.42032237199999756,"[0, 1, 1, 0, 1]",75,512,0
294,128,0.0,0.49301666699999913,"[0, 1, 1, 0, 1]",75,512,0
295,256,0.0,0.5677549259999992,"[0, 1, 1, 0, 1]",75,512,0
296,512,0.0,0.6526171569999981,"[0, 1, 1, 0, 1]",75,512,0
297,0,3.0,0.7245523879999993,"[1, 0, 0, 0, 0]",75,512,1
298,1,3.0,0.7247704229999989,"[1, 0, 0, 0, 0]",75,512,1
299,2,0.0,0.7970124689999984,"[1, 0, 0, 1, 0]",75,512,1
300,4,0.0,0.8700445959999996,"[1, 0, 0, 1, 0]",75,512,1
301,8,0.0,0.9412840679999981,"[1, 0, 0, 1, 0]",75,512,1
302,16,0.0,1.0138482779999975,"[1, 0, 0, 1, 0]",75,512,1
303,32,0.0,1.0858380099999998,"[1, 0, 0, 1, 0]",75,512,1
304,64,0.0,1.1617244519999979,"[1, 0, 0, 1, 0]",75,512,1
305,128,0.0,1.2390690309999997,"[1, 0, 0, 1, 0]",75,512,1
306,256,0.0,1.3210222499999986,"[1, 0, 0, 1, 0]",75,512,1
307,512,0.0,1.416729845999999,"[1, 0, 0, 1, 0]",75,512,1
308,0,3.0,1.4932448019999995,"[1, 1, 0, 0, 0]",75,512,2
309,1,3.0,1.4935068529999995,"[1, 1, 0, 0, 0]",75,512,2
310,2,2.0,1.5678644569999989,"[1, 1, 0, 1, 0]",75,512,2
311,4,2.0,1.6507396599999993,"[1, 1, 0, 1, 0]",75,512,2
312,8,0.0,1.7272623439999997,"[1, 0, 0, 1, 0]",75,512,2
313,16,0.0,1.801818936,"[1, 0, 0, 1, 0]",75,512,2
314,32,0.0,1.8774718700000008,"[1, 0, 0, 1, 0]",75,512,2
315,64,0.0,1.9550486479999982,"[1, 0, 0, 1, 0]",75,512,2
316,128,0.0,2.0366974519999985,"[1, 0, 0, 1, 0]",75,512,2
317,256,0.0,2.126513499999998,"[1, 0, 0, 1, 0]",75,512,2
318,512,0.0,2.231133248999999,"[1, 0, 0, 1, 0]",75,512,2
319,0,3.0,2.3088260490000003,"[0, 1, 0, 1, 0]",75,512,3
320,1,3.0,2.3091146780000003,"[0, 1, 0, 1, 0]",75,512,3
321,2,3.0,2.387616242,"[0, 1, 0, 1, 0]",75,512,3
322,4,3.0,2.4650254179999997,"[0, 1, 0, 1, 0]",75,512,3
323,8,0.0,2.5421024129999985,"[1, 0, 0, 1, 0]",75,512,3
324,16,0.0,2.619560417999999,"[1, 0, 0, 1, 0]",75,512,3
325,32,0.0,2.697503159,"[1, 0, 0, 1, 0]",75,512,3
326,64,0.0,2.779620571999999,"[1, 0, 0, 1, 0]",75,512,3
327,128,0.0,2.865841517,"[1, 0, 0, 1, 0]",75,512,3
328,256,0.0,2.9606888679999983,"[1, 0, 0, 1, 0]",75,512,3
329,512,0.0,3.075435504999998,"[1, 0, 0, 1, 0]",75,512,3
330,0,3.0,3.157790757000001,"[0, 1, 1, 1, 1]",75,512,4
331,1,3.0,3.158107701999999,"[0, 1, 1, 1, 1]",75,512,4
332,2,0.0,3.238045519,"[0, 1, 1, 0, 1]",75,512,4
333,4,0.0,3.3146186590000006,"[0, 1, 1, 0, 1]",75,512,4
334,8,0.0,3.3977074300000005,"[0, 1, 1, 0, 1]",75,512,4
335,16,0.0,3.476096394999999,"[0, 1, 1, 0, 1]",75,512,4
336,32,0.0,3.555381466,"[0, 1, 1, 0, 1]",75,512,4
337,64,0.0,3.6393980779999993,"[0, 1, 1, 0, 1]",75,512,4
338,128,0.0,3.730558717000001,"[0, 1, 1, 0, 1]",75,512,4
339,256,0.0,3.8306874079999993,"[0, 1, 1, 0, 1]",75,512,4
340,512,0.0,3.958977989000001,"[0, 1, 1, 0, 1]",75,512,4
341,0,3.0,4.042496673999999,"[1, 0, 0, 0, 0]",75,512,5
